SVL,Tail,Name_in_Tree,Location,Group,Habitat
90,NA,Antechinomys.laniger,,Marsupial,NA
94.5,NA,Antechinus.agilis,,Marsupial,NA
134.5,NA,Antechinus.bellus,,Marsupial,NA
129,NA,Antechinus.flavipes,,Marsupial,NA
133,NA,Antechinus.godmani,,Marsupial,NA
151,NA,Antechinus.leo,,Marsupial,NA
121.5,NA,Antechinus.minimus,,Marsupial,NA
94.5,NA,Antechinus.sp.,,Marsupial,NA
111,NA,Antechinus.stuartii,,Marsupial,NA
145.5,NA,Antechinus.swainsonii,,Marsupial,NA
102.5,NA,Dasykaluta.rosamondae,,Marsupial,NA
160,NA,Dasyuroides.byrnei,,Marsupial,NA
355,NA,Dasyurus.geoffroii,,Marsupial,NA
320,NA,Dasyurus.hallucatus,,Marsupial,NA
569.5,NA,Dasyurus.maculatus,,Marsupial,NA
385,NA,Dasyurus.viverrinus,,Marsupial,NA
379,NA,Echymipera.rufescens,,Marsupial,NA
242.5,NA,Isoodon.auratus,,Marsupial,NA
385,NA,Isoodon.macrourus,,Marsupial,NA
330,NA,Isoodon.obesulus,,Marsupial,NA
425,NA,Macrotis.lagotis,,Marsupial,NA
66,NA,Ningaui.ridei,,Marsupial,NA
66,NA,Ningaui.timealeyi,,Marsupial,NA
64.5,NA,Ningaui.yvonnae,,Marsupial,NA
145,NA,Parantechinus.apicalis,,Marsupial,NA
202.5,NA,Perameles.bougainville,,Marsupial,NA
310,NA,Perameles.gunnii,,Marsupial,NA
377.5,NA,Perameles.nasuta,,Marsupial,NA
113.5,NA,Phascogale.calura,,Marsupial,NA
210.5,NA,Phascogale.tapoatafa,,Marsupial,NA
70,NA,Planigale.gilesi,,Marsupial,NA
60.5,NA,Planigale.ingrami,,Marsupial,NA
70.85,NA,Planigale.maculata,,Marsupial,NA
62.5,NA,Planigale.tenuirostris,,Marsupial,NA
102.5,NA,Pseudantechinus.bilarni,,Marsupial,NA
100,NA,Pseudantechinus.macdonnellensis,,Marsupial,NA
85,NA,Pseudantechinus.mimulus,,Marsupial,NA
95,NA,Pseudantechinus.ningbing,,Marsupial,NA
86.5,NA,Pseudantechinus.roryi,,Marsupial,NA
107.5,NA,Pseudantechinus.woolleyae,,Marsupial,NA
652,NA,Sarcophilus.harrisii,,Marsupial,NA
88.5,NA,Sminthopsis.aitkeni,,Marsupial,NA
102.5,NA,Sminthopsis.archeri,,Marsupial,NA
71,NA,Sminthopsis.bindi,,Marsupial,NA
88,NA,Sminthopsis.butleri,,Marsupial,NA
75,NA,Sminthopsis.crassicaudata,,Marsupial,NA
81,NA,Sminthopsis.dolichura,,Marsupial,NA
132.5,NA,Sminthopsis.douglasi,,Marsupial,NA
85,NA,Sminthopsis.froggatti,,Marsupial,NA
86.5,NA,Sminthopsis.gilberti,,Marsupial,NA
78.5,NA,Sminthopsis.granulipes,,Marsupial,NA
81,NA,Sminthopsis.griseoventer,,Marsupial,NA
77.5,NA,Sminthopsis.hirtipes,,Marsupial,NA
97,NA,Sminthopsis.leucopus,,Marsupial,NA
90,NA,Sminthopsis.longicaudata,,Marsupial,NA
85,NA,Sminthopsis.macroura,,Marsupial,NA
90,NA,Sminthopsis.murina,,Marsupial,NA
72.5,NA,Sminthopsis.ooldea,,Marsupial,NA
99.5,NA,Sminthopsis.psammophila,,Marsupial,NA
115.5,NA,Sminthopsis.virginiae,,Marsupial,NA
68.5,NA,Sminthopsis.youngsoni,,Marsupial,NA
