Name_in_Tree,Body_Length,Group,Habitat
Antechinomys.laniger,90,Marsupial,NA
Antechinus.agilis,94.5,Marsupial,NA
Antechinus.bellus,134.5,Marsupial,NA
Antechinus.flavipes,129,Marsupial,NA
Antechinus.godmani,133,Marsupial,NA
Antechinus.leo,151,Marsupial,NA
Antechinus.minimus,121.5,Marsupial,NA
Antechinus.sp.,94.5,Marsupial,NA
Antechinus.stuartii,111,Marsupial,NA
Antechinus.swainsonii,145.5,Marsupial,NA
Dasykaluta.rosamondae,102.5,Marsupial,NA
Dasyuroides.byrnei,160,Marsupial,NA
Dasyurus.geoffroii,355,Marsupial,NA
Dasyurus.hallucatus,320,Marsupial,NA
Dasyurus.maculatus,569.5,Marsupial,NA
Dasyurus.viverrinus,385,Marsupial,NA
Echymipera.rufescens,379,Marsupial,NA
Isoodon.auratus,242.5,Marsupial,NA
Isoodon.macrourus,385,Marsupial,NA
Isoodon.obesulus,330,Marsupial,NA
Macrotis.lagotis,425,Marsupial,NA
Ningaui.ridei,66,Marsupial,NA
Ningaui.timealeyi,66,Marsupial,NA
Ningaui.yvonnae,64.5,Marsupial,NA
Parantechinus.apicalis,145,Marsupial,NA
Perameles.bougainville,202.5,Marsupial,NA
Perameles.gunnii,310,Marsupial,NA
Perameles.nasuta,377.5,Marsupial,NA
Phascogale.calura,113.5,Marsupial,NA
Phascogale.tapoatafa,210.5,Marsupial,NA
Planigale.gilesi,70,Marsupial,NA
Planigale.ingrami,60.5,Marsupial,NA
Planigale.maculata,70.85,Marsupial,NA
Planigale.tenuirostris,62.5,Marsupial,NA
Pseudantechinus.bilarni,102.5,Marsupial,NA
Pseudantechinus.macdonnellensis,100,Marsupial,NA
Pseudantechinus.mimulus,85,Marsupial,NA
Pseudantechinus.ningbing,95,Marsupial,NA
Pseudantechinus.roryi,86.5,Marsupial,NA
Pseudantechinus.woolleyae,107.5,Marsupial,NA
Sarcophilus.harrisii,652,Marsupial,NA
Sminthopsis.aitkeni,88.5,Marsupial,NA
Sminthopsis.archeri,102.5,Marsupial,NA
Sminthopsis.bindi,71,Marsupial,NA
Sminthopsis.butleri,88,Marsupial,NA
Sminthopsis.crassicaudata,75,Marsupial,NA
Sminthopsis.dolichura,81,Marsupial,NA
Sminthopsis.douglasi,132.5,Marsupial,NA
Sminthopsis.froggatti,85,Marsupial,NA
Sminthopsis.gilberti,86.5,Marsupial,NA
Sminthopsis.granulipes,78.5,Marsupial,NA
Sminthopsis.griseoventer,81,Marsupial,NA
Sminthopsis.hirtipes,77.5,Marsupial,NA
Sminthopsis.leucopus,97,Marsupial,NA
Sminthopsis.longicaudata,90,Marsupial,NA
Sminthopsis.macroura,85,Marsupial,NA
Sminthopsis.murina,90,Marsupial,NA
Sminthopsis.ooldea,72.5,Marsupial,NA
Sminthopsis.psammophila,99.5,Marsupial,NA
Sminthopsis.virginiae,115.5,Marsupial,NA
Sminthopsis.youngsoni,68.5,Marsupial,NA
Thylacinus.cynocephalus,1150,Marsupial,NA
Varanus.acanthurus,236,Monitor,saxicolous
Varanus.balagardi,280,Monitor,arboreal
Varanus.baritji,239.6,Monitor,saxicolous
Varanus.brevicauda,102,Monitor,terrestrial
Varanus.bushi,114.5,Monitor,arboreal
Varanus.caudolineatus,115,Monitor,arboreal
Varanus.doreanus,334.5,Monitor,terrestrial
Varanus.eremius,175.6,Monitor,terrestrial
Varanus.giganteus,788.6,Monitor,terrestrial
Varanus.gilleni,165.4,Monitor,arboreal
Varanus.glauerti,235.6,Monitor,saxicolous
Varanus.glebopalma,361.8,Monitor,saxicolous
Varanus.gouldii,514.2,Monitor,terrestrial
Varanus.indicus,430.8,Monitor,terrestrial
Varanus.kingorum,103,Monitor,saxicolous
Varanus.komodoensis,1166.2,Monitor,terrestrial
Varanus.mertensi,508.2,Monitor,amphibious
Varanus.mitchelli,283,Monitor,amphibious
Varanus.panoptes,588.6,Monitor,terrestrial
Varanus.pilbarensis,162,Monitor,saxicolous
Varanus.prasinus,311.8,Monitor,arboreal
Varanus.primordius,119.6,Monitor,saxicolous
Varanus.rosenbergi,425.2,Monitor,terrestrial
Varanus.scalaris,238.6,Monitor,terrestrial
Varanus.semiremex,291.6,Monitor,amphibious
Varanus.sparnus,116.8,Monitor,terrestrial
Varanus.spenceri,511.6,Monitor,terrestrial
Varanus.storri,144.2,Monitor,saxicolous
Varanus.tristis.b,280.8,Monitor,arboreal
Varanus.tristis.a,281,Monitor,arboreal
Varanus.varius,636.4,Monitor,terrestrial
