SVL,Tail,Name_in_Tree
NA,NA,Aiolosaurus.oriens
NA,NA,Cherminotus.longifrons
185,168,Lanthanotus.borneensis
165,460,Necrosaurus.cayluxi
NA,NA,Necrosaurus.eucarinatus
NA,NA,Ovoo.gurvel
420,890,Saniwa.ensidens
NA,NA,Saniwa.feisti
NA,NA,Saniwides.mongoliensis
NA,NA,Telmasaurus.grangeri
236,369.6,Varanus.acanthurus.acanthurus
236,369.6,Varanus.acanthurus.brachyurus
236,369.6,Varanus.acanthurus.insulanicus
449.6,610.8,Varanus.albigularis
210,318,Varanus.auffenbergi
280.8,439.4,Varanus.balagardi
239.6,440.6,Varanus.baritji
291.8,536.2,Varanus.beccarrii
376,513.2,Varanus.bengalensis
613,950,Varanus.bitatawa
120,113.8,Varanus.brevicauda
114.5,159.3,Varanus.bushi
401,533,Varanus.caspius
115,135.8,Varanus.caudolineatus
576,781,Varanus.cumingi
334.5,556.5,Varanus.doreanus
430.8,631.2,Varanus.douarrha
175.6,306.6,Varanus.eremius
383.8,331.4,Varanus.exanthematicus
334.5,556.5,Varanus.finschi
357.2,405.4,Varanus.flavescens
788.6,937,Varanus.giganteus
165.4,209.2,Varanus.gilleni
235.6,521.6,Varanus.glauerti
361.8,617.6,Varanus.glebopalma
514.2,733.6,Varanus.gouldii
444.4,507.8,Varanus.griseus
136.6,264.8,Varanus.hamersleyensis
430.8,631.2,Varanus.indicus
392.2,487.8,Varanus.jobiensis
103,227.8,Varanus.kingorum
1166.2,1059.2,Varanus.komodoensis
454,700,Varanus.marmoratus
508.2,665,Varanus.mertensi
283,448.2,Varanus.mitchelli
505.4,758.6,Varanus.niloticus
442,700,Varanus.nuchalis
600,940,Varanus.olivaceus
576,781,Varanus.palawanensis
588.6,779.6,Varanus.panoptes
162,298,Varanus.pilbarensis
311.8,549.2,Varanus.prasinus
119.6,165.4,Varanus.primordius
2116,2329,Varanus.priscus
425.2,607.2,Varanus.rosenbergi
411.2,530,Varanus.rudicollis
567.8,1191,Varanus.salvadorii
520.6,766,Varanus.salvator
576,781,Varanus.samarensis
238.6,326.6,Varanus.scalaris.OZ
238.6,326.6,Varanus.scalaris.PNG
291.6,395.2,Varanus.semiremex
102,98,Varanus.sparnus
511.6,563.8,Varanus.spenceri
312,550,Varanus.spinulosus
505.4,758.6,Varanus.stellatus
144.2,217.4,Varanus.storri
233.6,328.4,Varanus.timorensis
520.6,766,Varanus.togianus
280.8,439.4,Varanus.tristis.a
280.8,439.4,Varanus.tristis.b
636.4,825,Varanus.varius
410.7,458,Varanus.yemenensis
